Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
5,22,28,28/05/22,17.3,0.27,22.26,5.23,4.1,4.1
5,22,29,29/05/22,12.5,0.09,17.82,5.41,4.1,6
5,22,30,30/05/22,12.3,0.34,19.21,7.25,5.4,3.9
5,22,31,31/05/22,15.7,0.15,20.37,4.82,6.4,5.6
6,22,1,01/06/22,14.7,0.22,19.75,5.27,5.1,4.6
6,22,2,02/06/22,15.1,0.26,19.64,4.8,4.2,4.1
6,22,3,03/06/22,13.3,0.38,18.23,5.31,4.1,4.1
6,22,4,04/06/22,14.5,0.26,18.22,3.98,3.6,3.5
6,22,5,05/06/22,15.7,0.12,20.85,5.27,4.3,4.2
6,22,6,06/06/22,13.1,0.24,17.33,4.47,4.2,3.9
6,22,7,07/06/22,13.7,0.24,17.24,3.78,3.6,3.6
6,22,8,08/06/22,12.3,0.3,17.25,5.25,4.2,4
6,22,9,09/06/22,13.4,0.14,19.07,5.81,6.8,7.5
6,22,10,10/06/22,13.3,0.28,18.34,5.32,4.9,3.8
6,22,11,11/06/22,15.4,0.21,20.43,5.24,4.2,4.1
6,22,12,12/06/22,12.5,0.07,18.24,5.81,4.2,4.7
6,22,13,13/06/22,8.3,0.02,19.79,11.51,4.4,5.4
6,22,14,14/06/22,12.6,0.07,23.59,11.06,7.8,7.2
6,22,15,15/06/22,14,0.18,21.88,8.06,6.2,4.4
6,22,16,16/06/22,13.8,0.25,19.03,5.48,5.2,5.2
6,22,17,17/06/22,10.2,0.27,15.6,5.67,3.6,3.4
6,22,18,18/06/22,13.2,0.23,18.1,5.13,3.3,3.3
6,22,19,19/06/22,15.4,0.25,21.69,6.54,3.3,3.3
6,22,20,20/06/22,3.3,0.04,21.11,17.85,3.7,4.7
6,22,21,21/06/22,13.2,0.03,23.25,10.08,7.2,7.8
6,22,22,22/06/22,5.9,0.91,19.82,14.83,3.7,3.3
6,22,23,23/06/22,3.1,0.18,16.4,13.48,2.1,1.2
6,22,24,24/06/22,5.9,0.52,15.59,10.21,0.7,1.4
6,22,25,25/06/22,10.1,0.1,17.69,7.69,3.7,3.1
6,22,26,26/06/22,12.6,0.14,20.11,7.65,3.6,3.7
6,22,27,27/06/22,14.3,0.16,21.48,7.34,5.7,4.8
6,22,28,28/06/22,11,0.42,19.76,9.18,4,3.7
6,22,29,29/06/22,9.2,0.91,19.89,11.6,3.3,4.1
6,22,30,30/06/22,12.2,0.88,20.64,9.32,3.9,3.9
7,22,1,01/07/22,10.4,0.65,20.31,10.56,3.3,3.1
7,22,2,02/07/22,12.7,0.22,24.04,11.56,5.4,3.6
7,22,3,03/07/22,9.6,0.03,18.81,9.24,4.8,5.3
7,22,4,04/07/22,9.2,0.32,21.81,12.93,4.7,4.9
7,22,5,05/07/22,2.2,0.06,16.74,14.6,4.5,4.4
7,22,6,06/07/22,8.2,0.78,21.61,14.19,3.8,3.4
7,22,7,07/07/22,9.6,0.85,16.56,7.81,3.1,3.6
7,22,8,08/07/22,11.1,0.87,19.78,9.55,4.7,4.1
7,22,9,09/07/22,11.1,0.18,20.47,9.55,9.4,8.2
7,22,10,10/07/22,9.9,0.07,20.12,10.29,5.6,9
7,22,11,11/07/22,8.3,0.94,18.77,11.41,4.6,0.9
7,22,12,12/07/22,8.1,0.9,16.46,9.26,0.4,0.6
7,22,13,13/07/22,13.9,0.61,26.14,12.85,0.7,0.9
7,22,14,14/07/22,5.8,1.22,16.13,11.55,1.1,1.4
7,22,15,15/07/22,10.2,1,20.6,11.4,0.1,0
7,22,16,16/07/22,14.3,1.25,23.2,10.15,0,0.7
7,22,17,17/07/22,16.5,0.22,23.7,7.42,7.2,5.9
7,22,18,18/07/22,10.6,1.2,21.28,11.88,0.1,0.3
7,22,19,19/07/22,10.5,0.85,21.91,12.26,0,0
7,22,20,20/07/22,4.4,0.17,20.77,16.54,0,0.5
7,22,21,21/07/22,11.7,1.29,20.19,9.78,0,0.7
7,22,22,22/07/22,10.1,1.22,20.52,11.64,0.3,0
7,22,23,23/07/22,4.9,0.52,21.75,17.37,0,0.1
7,22,24,24/07/22,7.9,0.97,18.38,11.45,1.4,2.9
7,22,25,25/07/22,12.9,1.05,23.56,11.71,4.1,1.3
7,22,26,26/07/22,13.9,0.77,21.79,8.66,4.8,4.3
7,22,27,27/07/22,11.3,0.58,20.35,9.63,5.6,5.7
7,22,28,28/07/22,13.9,0.65,22.16,8.91,5.5,5.3
7,22,29,29/07/22,12.7,0.6,21.24,9.14,4.6,4
7,22,30,30/07/22,16.2,0.57,25.41,9.78,5.4,5.9
7,22,31,31/07/22,15,0.75,21.96,7.71,4.8,4
8,22,1,01/08/22,12.3,0.58,20.57,8.85,4.6,4.2
8,22,2,02/08/22,14.9,0.64,22.4,8.14,5.2,5.8
8,22,3,03/08/22,8.5,0.19,19,10.69,3.6,5.3
8,22,4,04/08/22,12.8,0.31,23.14,10.65,5.8,3.7
8,22,5,05/08/22,13.5,0.55,21.34,8.39,4.6,4.3
8,22,6,06/08/22,15.2,0.53,23.05,8.38,4.6,3.8
8,22,7,07/08/22,8,0.03,20.87,12.9,4.5,7.5
8,22,8,08/08/22,10.6,0.36,24.59,14.35,5,3.1
8,22,9,09/08/22,15.8,0.56,24.31,9.07,4.8,3.2
8,22,10,10/08/22,12.8,0.65,21.54,9.39,4.6,4.7
8,22,11,11/08/22,14.1,0.42,22.6,8.92,6.1,6.4
8,22,12,12/08/22,11.2,0.28,22.25,11.33,6,5.7
8,22,13,13/08/22,2.9,0.05,24.38,21.53,5.2,5.2
8,22,14,14/08/22,11.3,0.85,22.09,11.64,5.8,4.8
8,22,15,15/08/22,10,0.97,19.01,9.98,5.3,4.8
8,22,16,16/08/22,12.2,0.86,20.42,9.08,4.6,5.6
8,22,17,17/08/22,9,0.72,19.24,10.96,4.6,3.3
8,22,18,18/08/22,12.8,0.81,20.51,8.52,4.2,4.3
8,22,19,19/08/22,9,0.89,19.08,10.97,5.4,5.4
8,22,20,20/08/22,10.5,0.28,20.45,10.23,6.5,6.4
8,22,21,21/08/22,13.8,0.74,21.61,8.55,4.4,3.6
8,22,22,22/08/22,10.4,0.73,20.18,10.51,4.6,4.4
8,22,23,23/08/22,15.7,0.89,25.13,10.32,4.5,4.4
8,22,24,24/08/22,13,0.93,22.05,9.98,4.2,4
8,22,25,25/08/22,14.1,0.59,23.85,10.34,4.5,4.5
8,22,26,26/08/22,9.6,0.55,19.7,10.65,4.5,4.3
8,22,27,27/08/22,14.2,0.73,26.04,12.57,4.3,4.3
8,22,28,28/08/22,13.3,0.67,22.68,10.05,4.2,3.9
8,22,29,29/08/22,9.1,0.7,20.07,11.67,4.1,4.4
8,22,30,30/08/22,12.1,0.73,21.49,10.12,5.4,5.1
8,22,31,31/08/22,9.2,0.74,17.71,9.25,4.3,4
9,22,1,01/09/22,12.4,0.83,20.06,8.49,4.6,4.9
9,22,2,02/09/22,10.8,0.75,28.4,18.35,5.1,4.3
9,22,3,03/09/22,18.3,0.89,31.81,14.4,4.8,5
9,22,4,04/09/22,13.5,0.68,22.74,9.92,4.5,4.2
